Thời gian,Chức năng,Tên tệp,Đối tượng,Độ chính xác
2025-10-17 16:19:22,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,person,0.87
2025-10-17 16:19:22,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,potted plant,0.37
2025-10-17 16:20:45,Ảnh,me.jpg,person,0.83
2025-10-17 16:33:55,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,person,0.87
2025-10-17 16:33:55,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,potted plant,0.37
2025-10-17 16:34:20,Ảnh,z7115700337987_e21166681e32713701ef290448ec6816.jpg,chair,0.82
2025-10-17 16:34:20,Ảnh,z7115700337987_e21166681e32713701ef290448ec6816.jpg,bed,0.59
2025-10-17 16:58:08,Ảnh,the thao.jpg,person,0.52
2025-10-17 16:58:08,Ảnh,the thao.jpg,suitcase,0.43
2025-10-17 16:58:08,Ảnh,the thao.jpg,suitcase,0.41
2025-10-17 16:58:08,Ảnh,the thao.jpg,suitcase,0.39
2025-10-17 16:58:08,Ảnh,the thao.jpg,backpack,0.33
2025-10-17 16:58:08,Ảnh,the thao.jpg,bench,0.25
2025-10-17 16:58:25,Ảnh,z7115700337987_e21166681e32713701ef290448ec6816.jpg,chair,0.82
2025-10-17 16:58:25,Ảnh,z7115700337987_e21166681e32713701ef290448ec6816.jpg,bed,0.59
2025-10-17 17:01:57,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,person,0.87
2025-10-17 17:01:57,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,potted plant,0.37
2025-10-17 17:16:28,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,person,0.87
2025-10-17 17:16:28,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,potted plant,0.37
2025-10-17 17:19:37,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,person,0.87
2025-10-17 17:19:37,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,potted plant,0.37
2025-10-17 17:23:49,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,person,0.87
2025-10-17 17:23:49,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,potted plant,0.37
2025-10-17 17:24:00,Ảnh,the thao.jpg,person,0.52
2025-10-17 17:24:00,Ảnh,the thao.jpg,suitcase,0.43
2025-10-17 17:24:00,Ảnh,the thao.jpg,suitcase,0.41
2025-10-17 17:24:00,Ảnh,the thao.jpg,suitcase,0.39
2025-10-17 17:24:00,Ảnh,the thao.jpg,backpack,0.33
2025-10-17 17:24:00,Ảnh,the thao.jpg,bench,0.25
2025-10-17 17:33:15,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,person,0.87
2025-10-17 17:33:15,Ảnh,515437324_1360832621647863_496731421652450646_n.jpg,potted plant,0.37
